Activity Period,Passenger Count,GEO Region
201802,108153,Canada
201704,111540,Canada
201609,153529,Canada
201604,104021,Canada
201810,157238,Canada
201808,217179,Canada
201702,91338,Canada
201811,109978,Canada
201608,185552,Canada
201711,96764,Canada
201804,119985,Canada
201805,155283,Canada
201710,145883,Canada
201602,93321,Canada
201709,163479,Canada
201803,119363,Canada
201806,193822,Canada
201708,217532,Canada
201701,91892,Canada
201712,105772,Canada
201705,151268,Canada
201607,183332,Canada
201512,104378,Canada
201901,102943,Canada
201606,166061,Canada
201807,215255,Canada
201610,135315,Canada
201603,100735,Canada
201809,173761,Canada
201612,103225,Canada
201611,88281,Canada
201605,150454,Canada
201812,115970,Canada
201601,92099,Canada
201706,173444,Canada
201801,104932,Canada
201703,114153,Canada
201707,202844,Canada
