Activity Period,Operating Airline,Passenger Count,GEO Summary
201806,Virgin Atlantic,34531,International
201601,Cathay Pacific,42259,International
201705,Turkish Airlines,18116,International
201705,TACA,10657,International
201606,Air Canada,96286,International
201705,EVA Airways,37762,International
201801,Horizon Air,11590,Domestic
201807,Air Canada,112260,International
201810,Swiss International,18698,International
201610,Frontier Airlines,73630,Domestic
201706,Lufthansa German Airlines,43273,International
201803,ABC Aerolineas S.A. de C.V. dba Interjet,2302,International
201708,Thomas Cook Airlines,4823,International
201712,American Airlines,324446,Domestic
201701,Sun Country Airlines,6242,Domestic
201709,Alaska Airlines,18816,International
201808,Swiss International,19711,International
201710,Air Berlin,5145,International
201611,JetBlue Airways,128106,Domestic
201701,American Airlines,272881,Domestic
201805,Air Pacific Limited dba Fiji Airways,3757,International
201712,Sun Country Airlines,18041,Domestic
201812,Cathay Pacific,46699,International
201607,China Airlines,20568,International
201812,Jazz Aviation,14740,International
201607,Emirates,27890,International
201604,China Eastern,10731,International
201602,Hawaiian Airlines,25104,Domestic
201602,Philippine Airlines,19292,International
201512,Air Canada,57466,International
201706,Virgin America,451294,Domestic
201601,Air France,17853,International
201610,Volaris Airlines,4009,International
201803,"COPA Airlines, Inc.",19414,International
201701,Southwest Airlines,250963,Domestic
201701,Compass Airlines,46276,Domestic
201712,Southwest Airlines,319601,Domestic
201812,Air France,14767,International
201706,Singapore Airlines,28546,International
201708,Virgin Atlantic,30160,International
201901,China Airlines,20389,International
201712,Compass Airlines,63396,Domestic
201702,Swiss International,10106,International
201806,Thomas Cook Airlines,6646,International
201811,Finnair,3163,International
201612,JetBlue Airways,123248,Domestic
201705,United Airlines,1457894,Domestic
201709,WOW Air,16658,International
201901,Emirates,27365,International
201801,Virgin America,406752,Domestic
201707,Lufthansa German Airlines,46013,International
201708,Compass Airlines,55136,Domestic
201710,WOW Air,9789,International
201602,Air India Limited,5337,International
201604,All Nippon Airways,13228,International
201712,Virgin Atlantic,21112,International
201901,TACA,15324,International
201605,JetBlue Airways,132718,Domestic
201708,Southwest Airlines,340940,Domestic
201901,Turkish Airlines,19266,International
201809,Volaris Airlines,4261,International
201802,Swiss International,12810,International
201703,Virgin America,392972,Domestic
201901,EVA Airways,58262,International
201806,American Airlines,360139,Domestic
201806,Sun Country Airlines,16284,Domestic
201803,Korean Air Lines,25045,International
201803,SkyWest Airlines,339898,Domestic
201604,China Southern,11963,International
201604,Delta Air Lines,306699,Domestic
201801,Singapore Airlines,26890,International
201604,Japan Airlines,11588,International
201604,Alaska Airlines,109774,Domestic
201607,United Airlines,1556583,Domestic
201703,Singapore Airlines,26111,International
201701,Virgin Atlantic,19979,International
201603,Virgin America,8882,International
201708,Sun Country Airlines,20972,Domestic
201805,KLM Royal Dutch Airlines,28448,International
201703,Lufthansa German Airlines,40349,International
201607,Turkish Airlines,15189,International
201809,Frontier Airlines,26178,Domestic
201607,TACA,11639,International
201604,Asiana Airlines,14331,International
201706,Horizon Air,4111,Domestic
201709,Air Berlin,19086,International
201603,Aeromexico,21589,International
201607,EVA Airways,34691,International
201801,Lufthansa German Airlines,41589,International
201707,Virgin America,468239,Domestic
201710,Alaska Airlines,21249,International
201805,SkyWest Airlines,13834,International
201806,Compass Airlines,45646,Domestic
201705,China Airlines,20891,International
201803,Air China,18731,International
201806,Iberia,6710,International
201806,Southwest Airlines,345778,Domestic
201704,Swiss International,14993,International
201705,Emirates,22077,International
201707,Singapore Airlines,30245,International
201901,United Airlines,1218683,Domestic
